security,session,classification,original_open,original_high,original_low,original_close,corrected_high,corrected_low,violations,max_abs_violation,max_rel_violation,reason
UK_JD.L,2013-04-24,MATERIAL_DISCREPANCY,7.77749858943554,7.77749858943554,7.77749858943554,7.731349945068359,7.77749858943554,7.77749858943554,low > close,0.04614864436718058,0.00596902800870082,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2013-05-31,MATERIAL_DISCREPANCY,8.97951468692414,9.112201229694307,9.107205390930176,9.107205390930176,9.112201229694307,9.107205390930176,low > open,0.1276907040060351,0.014020843774227569,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2013-07-02,MATERIAL_DISCREPANCY,8.741516098535605,8.741516098535605,8.54268690868606,8.794970512390137,8.741516098535605,8.54268690868606,high < close,0.053454413854531424,0.006077838894311944,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2013-07-08,MATERIAL_DISCREPANCY,8.844930943951468,8.889393246447877,8.844930943951468,8.972321510314941,8.889393246447877,8.844930943951468,high < close,0.08292826386706409,0.009242676354355606,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2013-08-06,MATERIAL_DISCREPANCY,9.182142902309149,9.21211794088635,9.14217713706522,8.992305755615234,9.21211794088635,9.14217713706522,low > close,0.14987138144998546,0.016666624281141514,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2013-10-07,MATERIAL_DISCREPANCY,10.72582152902139,10.71832824622872,10.623409201799447,10.71583080291748,10.71832824622872,10.623409201799447,high < open,0.007493282792669476,0.0006992722198104661,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2017-06-19,MATERIAL_DISCREPANCY,85.55544386719114,86.99469679056119,85.63540405747247,86.71484375,86.99469679056119,85.63540405747247,low > open,0.0799601902813265,0.0009221049917572677,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2017-06-27,MATERIAL_DISCREPANCY,79.56105979627641,79.46111023934682,78.24170581808356,78.62931823730469,79.46111023934682,78.24170581808356,high < open,0.0999495569295874,0.0012711487161562033,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2017-06-29,MATERIAL_DISCREPANCY,77.56204087352242,77.24819910125035,70.10569080543227,72.80436706542969,77.24819910125035,70.10569080543227,high < open,0.31384177227207033,0.004310754765438988,Material discrepancy exceeding 4 ULPs; rejected
UK_JD.L,2024-05-01,MATERIAL_DISCREPANCY,114.2662567052619,113.01662575978503,113.01662575978503,112.11688995361328,113.01662575978503,113.01662575978503,high < open; low > close,1.2496309454768664,0.011145786740908376,Material discrepancy exceeding 4 ULPs; rejected
UK_LSEG.L,2017-06-19,MATERIAL_DISCREPANCY,3721.6810167389895,3756.6404465795326,3724.67753929675,3747.65087890625,3756.6404465795326,3724.67753929675,low > open,2.996522557760727,0.0007995735607675549,Material discrepancy exceeding 4 ULPs; rejected
UK_LSEG.L,2017-06-22,MATERIAL_DISCREPANCY,3771.6234887090327,3761.635079046138,3742.91680909218,3748.650146484375,3761.635079046138,3742.91680909218,high < open,9.98840966289481,0.0026645350386357916,Material discrepancy exceeding 4 ULPs; rejected
UK_LSEG.L,2024-04-30,MATERIAL_DISCREPANCY,8716.994598547366,8716.994598547366,8716.994598547366,8842.951171875,8716.994598547366,8716.994598547366,high < close,125.95657332763403,0.014243725977843102,Material discrepancy exceeding 4 ULPs; rejected
UK_OCDO.L,2017-06-19,MATERIAL_DISCREPANCY,282.29998779296875,310.8999938964844,284.1000061035156,306.3999938964844,310.8999938964844,284.1000061035156,low > open,1.800018310546875,0.00587473350653852,Material discrepancy exceeding 4 ULPs; rejected
UK_OCDO.L,2017-06-23,MATERIAL_DISCREPANCY,304.1000061035156,303.3999938964844,297.70001220703125,301.70001220703125,303.3999938964844,297.70001220703125,high < open,0.70001220703125,0.00232022598179708,Material discrepancy exceeding 4 ULPs; rejected
UK_OCDO.L,2017-06-27,MATERIAL_DISCREPANCY,302.0,299.79998779296875,294.7300109863281,296.74798583984375,299.79998779296875,294.7300109863281,high < open,2.20001220703125,0.007413739307462753,Material discrepancy exceeding 4 ULPs; rejected
