security,session,classification,original_open,original_high,original_low,original_close,corrected_high,corrected_low,violations,max_abs_violation,max_rel_violation,reason
Brazil_PETR4.SA,2015-07-23,ROUNDOFF_ONLY,2.560223188049232,2.6453969896003016,2.535171985626221,2.5351719856262207,2.6453969896003016,2.5351719856262207,low > close,4.440892098500626e-16,1.7517123586404997e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2015-08-11,ROUNDOFF_ONLY,2.4525031419648435,2.500100135803222,2.3723396833292787,2.5001001358032227,2.5001001358032227,2.3723396833292787,high < close,4.440892098500626e-16,1.7762856914824627e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2015-08-14,ROUNDOFF_ONLY,2.40741146377918,2.424947402352316,2.329753160476685,2.3297531604766846,2.424947402352316,2.3297531604766846,low > close,4.440892098500626e-16,1.9061642125176846e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2015-08-25,ROUNDOFF_ONLY,2.0291392395625114,2.061705460031484,1.966511368751526,1.9665113687515259,2.061705460031484,1.9665113687515259,low > close,2.220446049250313e-16,1.129129525785555e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2015-09-17,ROUNDOFF_ONLY,2.0166143902661466,2.0316449223855066,1.969017267227173,1.9690172672271729,2.0316449223855066,1.9690172672271729,low > close,2.220446049250313e-16,1.1276925226649788e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2015-10-28,ROUNDOFF_ONLY,1.9715219779964486,1.9915628433227537,1.9690169295571505,1.991562843322754,1.991562843322754,1.9690169295571505,high < close,2.220446049250313e-16,1.1149264291081505e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2016-03-02,ROUNDOFF_ONLY,1.3051626306465007,1.4153875112533567,1.2901319813982453,1.415387511253357,1.415387511253357,1.2901319813982453,high < close,2.220446049250313e-16,1.5687901946259642e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2016-03-03,ROUNDOFF_ONLY,1.6458579301834109,1.6458579301834109,1.6458579301834109,1.6458579301834106,1.6458579301834109,1.6458579301834106,low > close,2.220446049250313e-16,1.349111614392423e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2016-03-14,ROUNDOFF_ONLY,2.0366551550708376,2.0541908546170036,1.8537820577621462,1.853782057762146,2.0541908546170036,1.853782057762146,low > close,2.220446049250313e-16,1.1977923941775538e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2016-04-04,ROUNDOFF_ONLY,1.8888537883758547,1.8888537883758547,1.8888537883758547,1.8888537883758545,1.8888537883758547,1.8888537883758545,low > close,2.220446049250313e-16,1.1755521062112386e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2016-04-05,ROUNDOFF_ONLY,1.9539862871170042,1.9539862871170042,1.9539862871170042,1.9539862871170044,1.9539862871170044,1.9539862871170042,high < close,2.220446049250313e-16,1.1363672631124014e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2016-04-06,ROUNDOFF_ONLY,1.8988740444183347,1.8988740444183347,1.8988740444183347,1.898874044418335,1.898874044418335,1.8988740444183347,high < close,2.220446049250313e-16,1.1693487810722498e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2016-04-19,ROUNDOFF_ONLY,2.407411336898804,2.407411336898804,2.407411336898804,2.4074113368988037,2.407411336898804,2.4074113368988037,low > close,4.440892098500626e-16,1.8446752453285885e-16,Bounded roundoff within 4 ULPs; normalized minimally
