system,market,seed,condition,replication_id,rank_spearman_rho,rank_kendall_tau,top1_hit_agreement,top3_set_overlap
P0,US,17,Matched Random Precedent Replacement,38,-0.09999999999999999,-0.1,0.2,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,39,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,39,-0.09999999999999999,-0.1,0.2,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,40,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,40,0.2,0.16666666666666669,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,41,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,41,0.05000000000000001,0.03333333333333335,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,42,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,42,0.25,0.23333333333333334,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,43,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,43,0.2,0.16666666666666669,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,44,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,44,0.25,0.23333333333333334,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,45,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,45,0.4,0.3666666666666667,0.5,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,46,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,46,0.35,0.36666666666666664,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,47,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,47,0.45,0.4333333333333334,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,48,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,48,0.09999999999999999,0.1,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,49,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,49,0.5,0.5,0.5,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,50,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,50,0.14999999999999997,0.16666666666666666,0.3,0.5
P0,US,37,Same-Date Cross-Candidate Bundle Swap,1,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,1,0.375,0.36111111111111116,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,2,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,2,0.25,0.25,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,3,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,3,0.24999999999999997,0.25,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,4,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,4,0.2916666666666667,0.3055555555555555,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,5,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,5,0.2916666666666667,0.3055555555555555,0.3333333333333333,0.4166666666666667
