draw_id,delta_sharpe_L5,sharpe_P0*_L5,sharpe_P1_L5,delta_sharpe_L10,sharpe_P0*_L10,sharpe_P1_L10,delta_sharpe_L21,sharpe_P0*_L21,sharpe_P1_L21,delta_sharpe_L63,sharpe_P0*_L63,sharpe_P1_L63
73,0.040076324045290136,0.10012105925995857,0.06004473521466843,0.04161972872157221,0.40111302627336215,0.35949329755178994,-0.12204058209145763,0.3752062001325556,0.49724678222401325,-0.017960393792820273,0.47924227709297,0.4972026708857903
74,0.05388945366113329,0.23706228606279509,0.1831728324016618,-0.00987282743971779,0.2905965217809744,0.3004693492206922,0.03213577132187467,0.5288008831339598,0.4966651118120851,-0.03206727017236766,0.2725571764640177,0.3046244466363854
75,0.08751450317991716,0.28632235157544744,0.19880784839553028,-0.05062957470701307,0.24450901161664268,0.29513858632365575,0.04327989075252986,0.5049950346172014,0.46171514386467155,-0.0209412581478835,0.13186134836359745,0.15280260651148095
76,-0.09855946525046455,0.2860276513161867,0.38458711656665123,-0.1203716307687743,0.24837625838201635,0.36874788915079065,0.0197601867439684,0.3188761563338857,0.2991159695899173,0.025088922508561373,0.34497404188894465,0.3198851193803833
77,-0.00791334601546001,0.8984796830795131,0.9063930290949731,0.20506537118770213,0.4503248696989176,0.24525949851121548,0.07306525305139389,0.5717579569125053,0.4986927038611114,-0.003085492800832146,0.28378571739234826,0.2868712101931804
78,0.011483438416625136,0.32754584501275463,0.3160624065961295,0.07945515907293818,0.3294215396597131,0.24996638058677492,0.11908250498481993,0.42420632414652937,0.30512381916170944,-0.002439511452816401,0.31514344300075386,0.31758295445357027
79,0.0025286675785285984,0.43130068367019087,0.42877201609166227,0.043442253925924934,0.568719469413377,0.5252772154874521,-0.10557386315871342,0.22412724386452404,0.32970110702323746,-0.16875553543894437,0.049488587101682135,0.2182441225406265
80,0.12943088712136214,0.3217414347999046,0.19231054767854244,0.015240730069610575,-0.10129037190394313,-0.11653110197355371,0.12494669899545541,0.4964431947107626,0.3714964957153072,-0.057297514797740146,0.4119277692096179,0.469225284007358
81,0.06314261314428277,0.5077850581703554,0.4446424450260726,0.015842449411185094,0.18320694494423911,0.16736449553305402,-0.09281613206862305,0.36274003165274243,0.4555561637213655,0.01916793486342447,0.18453743447105764,0.16536949960763317
82,0.01349066735855653,0.3070161585588281,0.29352549120027155,-0.07640602564594523,0.40603501846882645,0.4824410441147717,-0.052918070717823285,0.5140480512673188,0.5669661219851421,0.0335697457129151,0.38609025612891185,0.35252051041599675
83,0.06647971737612739,0.1755151933460171,0.1090354759698897,0.07674328720676057,0.1808039883639605,0.10406070115719993,-0.015599974370870295,0.3349120833230642,0.3505120576939345,0.0402138152606652,0.34848860354895683,0.30827478828829163
84,-0.10467496129535075,0.31459270924418087,0.4192676705395316,0.07189418417683052,0.3486638141342398,0.2767696299574093,-0.11484317415739431,0.05914295527622199,0.1739861294336163,-0.12415844481227678,0.2563952479904784,0.3805536928027552
85,0.19098741921359763,0.10932326721603736,-0.08166415199756029,0.06794384443543663,0.294336908650516,0.22639306421507935,-0.14587243351307178,0.2504244853808815,0.3962969188939533,-0.08877621883515976,0.07577142966077777,0.16454764849593753
86,-0.09936323239254116,-0.02409501472717756,0.07526821766536361,-0.07839661001667175,0.45286494316056525,0.531261553177237,-0.026675774408228325,0.33021313128108304,0.35688890568931136,-0.02249416657913253,0.1884624649673098,0.21095663154644234
87,-0.04692744377616476,-0.4030931068633873,-0.35616566308722253,0.08368650687922391,0.37384347449751193,0.290156967618288,0.028413349843136343,0.2543549045212809,0.22594155467814456,0.04367486918492314,0.3995525761045719,0.35587770691964876
